"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Farringdon,Goodmayes, 960 ,
Earlsfield,Leicester Square, 960 ,
Clapham Junction,Old Street, 960 ,
Piccadilly Circus,Southall, 960 ,
Abbey Wood,Stratford, 960 ,
Ealing Broadway,Westbourne Park, 960 ,
East Croydon,Blackhorse Road, 950 ,
Mill Hill Broadway,Bond Street, 950 ,
Surbiton,Kings Cross LU (North), 950 ,
Raynes Park,London Bridge LU, 950 ,
London Bridge LU,Raynes Park, 950 ,
Vauxhall LU,Romford, 950 ,
Streatham Common,South Kensington, 950 ,
Farringdon,Southall, 950 ,
Earlsfield,Walthamstow Central, 950 ,
East Croydon,Wembley Park, 950 ,
Ealing Broadway,Elephant & Castle, 940 ,
Farringdon,Forest Gate, 940 ,
Euston Square,Hayes & Harlington, 940 ,
Oxford Circus,Kent House, 940 ,
Southall,London Bridge LU, 940 ,
Surbiton,London Bridge NR, 940 ,
Euston Square,Southall, 940 ,
South Kensington,Streatham Common, 940 ,
West Croydon,Tooting Broadway, 940 ,
Walthamstow Central,Wandsworth Town, 940 ,
Stratford,Wimbledon, 940 ,
Wandsworth Town,Canary Wharf LU (E1), 930 ,
Oxford Circus,Crystal Palace, 930 ,
Westbourne Park,Ealing Broadway, 930 ,
East Croydon,Elephant & Castle, 930 ,
Tottenham Court Road,Hackney Downs, 930 ,
Kings Cross LU (Western),Harold Wood, 930 ,
Bromley South,Sloane Square, 930 ,
Surbiton,Tottenham Court Road, 930 ,
Ealing Broadway,Baker Street, 920 ,
Seven Sisters,Brimsdown, 920 ,
Embankment,East Croydon, 920 ,
Bond Street,Grove Park, 920 ,
Southall,Kings Cross LU (Western), 920 ,
Angel,Lewisham NR, 920 ,
Green Park,Norbury, 920 ,
Barbican,Romford, 920 ,
Barking,Sloane Square, 920 ,
Green Park,Streatham Common, 920 ,
Richmond,Wood Lane, 920 ,
Wembley Park,East Croydon, 910 ,
Forest Gate,Euston Square, 910 ,
Oxford Circus,Gipsy Hill, 910 ,
Norbury,Green Park, 910 ,
Clapham Junction,North Acton, 910 ,
Bushey,Oxford Circus, 910 ,
Shortlands,Oxford Circus, 910 ,
Aldgate East,Clapham Junction, 900 ,
Bromley South,Clapham Junction, 900 ,
Bermondsey,Clapham Junction, 900 ,
Finsbury Park LU,East Croydon, 900 ,
Goodmayes,Farringdon, 900 ,
East Croydon,Hammersmith D&P, 900 ,
Oxford Circus,Mortlake, 900 ,
Kings Cross LU (Western),Seven Kings, 900 ,
Green Park,Sutton Surrey, 900 ,
Romford,Tottenham Court Road, 900 ,
Hampstead Heath,Wembley Park, 900 ,
Leicester Square,Wimbledon, 900 ,
East Dulwich,Bond Street, 890 ,
London Bridge NR,Earlsfield, 890 ,
Seven Kings,Euston Square, 890 ,
Elephant & Castle,Hayes & Harlington, 890 ,
Seven Kings,Kings Cross LU (Western), 890 ,
East Croydon,Leicester Square, 890 ,
East Ham,Lewisham DLR, 890 ,
Oxford Circus,Norbiton, 890 ,
Wandsworth Common,Oxford Circus, 890 ,
Norwood Junction SR,Oxford Circus, 890 ,
New Eltham,Vauxhall NR, 890 ,
Harrow & Wealdstone,Victoria LU, 890 ,
Wandsworth Town,Walthamstow Central, 890 ,
Wandsworth Town,Warren Street, 890 ,
Shoreditch High Street,Woolwich Arsenal DLR, 890 ,
Vauxhall NR,Abbey Wood, 880 ,
Romford,Baker Street, 880 ,
Brixton LU,Barnes, 880 ,
Clapham Junction,Bermondsey, 880 ,
Bromley South,Euston LU, 880 ,
Harold Wood,Farringdon, 880 ,
Euston Square,Goodmayes, 880 ,
Oxford Circus,Harold Wood, 880 ,
Harold Wood,Kings Cross LU (Western), 880 ,
Ealing Broadway,Kings Cross LU (Western), 880 ,
Clapham Junction,Lewisham NR, 880 ,
South Kensington,Norbury, 880 ,
Nunhead,Oxford Circus, 880 ,
Herne Hill,South Kensington, 880 ,
Kings Cross LU (Western),Southall, 880 ,
Wandsworth Town,Stratford, 880 ,
Cheshunt,Vauxhall LU, 880 ,
Abbey Wood,Vauxhall NR, 880 ,
Romford,Barbican, 870 ,
Embankment,Barking, 870 ,
Euston LU,Bromley South, 870 ,
Wimbledon,Canning Town, 870 ,
East Croydon,Covent Garden, 870 ,
Elephant & Castle,Ealing Broadway, 870 ,
Forest Gate,Farringdon, 870 ,
Richmond,Green Park, 870 ,
Enfield Lock,Highbury & Islington, 870 ,
Euston LU,Lewisham NR, 870 ,
Bond Street,New Eltham, 870 ,
Vauxhall NR,New Eltham, 870 ,
Wimbledon,North Greenwich, 870 ,
West Ealing,Oxford Circus, 870 ,
Imperial Wharf,Queensbury, 870 ,
Brimsdown,Seven Sisters, 870 ,
London Bridge LU,Southall, 870 ,
Hackney Downs,Tottenham Court Road, 870 ,
North Greenwich,Wimbledon, 870 ,
Stratford,Abbey Wood, 860 ,
Shadwell DLR,Barking, 860 ,
Putney,Bond Street, 860 ,
Bexleyheath,Bond Street, 860 ,
Great Portland Street,Chadwell Heath, 860 ,
Hammersmith C&H,East Acton, 860 ,
East Croydon,Embankment, 860 ,
Putney,Euston LU, 860 ,
Euston Square,Gidea Park, 860 ,
Vauxhall LU,Hayes & Harlington, 860 ,
East Croydon,High Street Kensington, 860 ,
Vauxhall NR,North Greenwich, 860 ,
Harrow & Wealdstone,Old Street, 860 ,
Teddington,Oxford Circus, 860 ,
Sanderstead,Oxford Circus, 860 ,
Imperial Wharf,Oxford Circus, 860 ,
East Croydon,Piccadilly Circus, 860 ,
Wood Lane,Richmond, 860 ,
Upminster,Sloane Square, 860 ,
East Croydon,St Johns Wood, 860 ,
Lewisham NR,Warren Street, 860 ,
Upminster,Westminster, 860 ,
Clapham Junction,Aldgate East, 850 ,
Oxford Circus,Brimsdown, 850 ,
North Acton,Clapham Junction, 850 ,
Earls Court,East Croydon, 850 ,
East Croydon,Gloucester Road, 850 ,
Hammersmith C&H,Greenford, 850 ,
Bond Street,Greenwich, 850 ,
Farringdon,Harold Wood, 850 ,
Queensbury,Imperial Wharf, 850 ,
Lewisham NR,Knightsbridge, 850 ,
Shenfield,Oxford Circus, 850 ,
Stratford,Putney, 850 ,
Kings Cross LU (North),Putney, 850 ,
Chancery Lane,Romford, 850 ,
Bond Street,Sidcup, 850 ,
Norbury,South Kensington, 850 ,
Barking,South Kensington, 850 ,
